,index,title,link,image,pubDate,director,actor,userRating,genre,nation,pos_per,pos_key,neg_key
0,0,제8일의 밤,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185949,https://ssl.pstatic.net/imgmovie/mdi/mit110/1859/185949_P27_114005.jpg,2021,김태형,"이성민,박해준,김유정,남다름,김동영",10.0,"미스터리,스릴러",한국,0.5416666666666666,"공포,불교,몰입,번민,번뇌","낭비,불교,캐릭터,최악,소재"
1,1,뷰티플 마인드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177543,https://ssl.pstatic.net/imgmovie/mdi/mit110/1775/177543_P19_103551.jpg,2018,"류장하,손미","심환,허지연,김건호,김민주,김수진",9.88,다큐멘터리,한국,0.9456521739130436,"감동,마음,음악,힐링,눈물","아내,우리말,와이프,댓글,겉멋"
2,2,아픈 만큼 사랑한다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182777,https://ssl.pstatic.net/imgmovie/mdi/mit110/1827/182777_P13_144610.jpg,2019,임준현,박누가,9.79,다큐멘터리,한국,0.8085106382978723,"사랑,선교사,누가,선생님,존경","누가,선교사,존경,선생님,테스"
3,3,매미소리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146418,https://ssl.pstatic.net/imgmovie/mdi/mit110/1464/146418_P23_113904.jpg,2020,이충렬,"이양희,주보비,서연우",9.74,"드라마,가족",한국,0.9195402298850576,"감동,진도,시래기,소리,매미","소리,스삐융,삐융,삐용,역시"
4,4,인생은 뷰티풀: 비타돌체,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213364,https://ssl.pstatic.net/imgmovie/mdi/mit110/2133/213364_P01_143921.jpg,2022,"김선형,오윤동","김호중,원태연,이주호",9.74,"다큐멘터리,공연",한국,0.951219512195122,"노래,감동,음악,가수,인생","아줌마,부대,알바,장난,역대"
5,5,또또와 유령친구들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=19149,https://ssl.pstatic.net/imgmovie/mdi/mit110/0191/A9149-00.jpg,1998,"이춘만,왕 샤우디",최문자,9.74,"애니메이션,어드벤처,판타지",한국,0.7582417582417582,"기억,추억,다시,제목,만화","고양이,고생,할머니,다다,검색"
6,6,시인 할매,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178483,https://ssl.pstatic.net/imgmovie/mdi/mit110/1784/178483_P12_101018.jpg,2018,이종은,"김막동,김점순,박점례,안기임,윤금순,양양금,최영자,김선자",9.7,다큐멘터리,한국,0.8979591836734694,"할머니,마음,감동,엄마,가슴","할머니,상영,모든,사람,평로"
7,7,오 마이 파파,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154311,https://ssl.pstatic.net/imgmovie/mdi/mit110/1543/154311_P01_132652.jpg,2016,박혁지,소 알로이시오,9.7,다큐멘터리,한국,0.9183673469387756,"감동,신부,사랑,가슴,아버지","사람,신부,기부,위해,노력"
8,8,할머니의 먼 집,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144584,https://ssl.pstatic.net/imgmovie/mdi/mit110/1445/144584_P11_135320.jpg,2015,이소현,"박삼순,이소현,장춘옥,장춘기,장병업,김미연,장춘열,유정순,장춘순,홍정동,이춘우,장춘식,장병욱,이주현,이상온,홍순영,장가람,장승우,마세웅",9.62,다큐멘터리,한국,0.8441558441558441,"할머니,사랑,마음,눈물,외할머니","할머니,평단,뭔가,기분,시선"
9,9,밥정,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186114,https://ssl.pstatic.net/imgmovie/mdi/mit110/1861/186114_P51_102222.jpg,2018,박혜령,임지호,9.6,"다큐멘터리,드라마",한국,0.8780487804878049,"감동,마음,어머니,그리움,음식","선생님,사람,인명,재천,주기도"
10,10,학교 가는 길,https://movie.naver.com/movie/bi/mi/basic.nhn?code=197071,https://ssl.pstatic.net/imgmovie/mdi/mit110/1970/197071_P15_102326.jpg,2020,김정인,"이은자,정난모,조부용,장민희,김남연",9.59,다큐멘터리,한국,0.7978723404255319,"사회,장애,이야기,학교,사람","학교,사람,상영,강서구,장애인"
11,11,"의궤, 8일간의 축제 3D",https://movie.naver.com/movie/bi/mi/basic.nhn?code=123012,https://ssl.pstatic.net/imgmovie/mdi/mit110/1230/123012_P00_154128.jpg,2013,최필곤,여진구,9.55,다큐멘터리,한국,0.8686868686868687,"다큐,정조,최고,역사,감동","다큐,상영,전혀,한국인,편견"
12,12,마리안느와 마가렛,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159525,https://ssl.pstatic.net/imgmovie/mdi/mit110/1595/159525_P20_105208.jpg,2017,윤세영,"마리안느 스퇴거,마가렛 피사렉",9.55,다큐멘터리,한국,0.8723404255319149,"사랑,감동,마음,사람,마가렛","감히,평가,사람,소록도,대한민국"
13,13,플루크 ,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17409,https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7409-01.jpg,1995,카를로 카를레이,"사무엘 L. 잭슨,샘 지팔디",9.53,드라마,미국,0.8163265306122449,"감동,최고,다시,지금,플루","동물,초등학교,아빠,처음,사무엘"
14,14,공룡시대,https://movie.naver.com/movie/bi/mi/basic.nhn?code=12120,https://ssl.pstatic.net/imgmovie/mdi/mit110/0121/A2120-01.jpg,1988,돈 블루스,"팻 힝글,헬렌 쉐이버,가브리엘 데이몬",9.53,"드라마,애니메이션,어드벤처",미국,0.7849462365591398,"추억,감동,비디오,공룡,기억","나뭇잎,상영,공룡,스파이크,소리"
15,15,시맨틱 에러: 더 무비,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213415,https://ssl.pstatic.net/imgmovie/mdi/mit110/2134/213415_P01_174045.jpg,2022,김수정,"박서함,박재찬",9.51,로맨스,한국,0.8539325842696629,"최고,드라마,감정,사랑,세상","에러,팬층,영화계,그을,현생"
16,16,은행털이와 아빠와 나,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10472,https://ssl.pstatic.net/imgmovie/mdi/mit110/0104/10472_P01_111652.jpg,1986,프랑시스 베베르,"피에르 리샤르,제라르 드빠르디유",9.5,"드라마,범죄",프랑스,0.67,"비디오,금성,감동,다시,추억","금성,비디오,코미디,사람,추억"
17,17,몽마르트 파파,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189463,https://ssl.pstatic.net/imgmovie/mdi/mit110/1894/189463_P23_100504.jpg,2019,민병우,"민형식,이운숙,민병우",9.48,다큐멘터리,한국,0.926829268292683,"아버지,모습,그림,아버님,여행","선생님,아버님,파리,아들,처음"
18,18,수잔브링크의 아리랑,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10588,https://ssl.pstatic.net/imgmovie/mdi/mit110/0105/A0588-01.jpg,1991,장길수,"최진실,김윤경",9.47,드라마,한국,0.8144329896907216,"다시,가슴,감동,눈물,입양","입양,유숙,친구,링크,해외"
19,19,변검 : 킹오브마스크,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24555,https://ssl.pstatic.net/imgmovie/mdi/mit110/0245/B4555-01.jpg,1995,오천명,"주욱,주임영",9.47,드라마,"중국,홍콩",0.8,"감동,명작,눈물,사람,할아버지","중국,년전,남존,실제,부모"
20,20,프로젝트 A,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10306,https://ssl.pstatic.net/imgmovie/mdi/mit110/0103/10306_P05_141314.jpg,1983,성룡,"성룡,홍금보,원표",9.47,"액션,코미디",홍콩,0.7676767676767676,"최고,액션,명작,트리오,지금","수준,이후,영국,경찰,액션"
21,21,쇼생크 탈출,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17421,https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/17421_P16_095733.jpg,1994,프랭크 다라본트,"팀 로빈스,모건 프리먼",9.46,드라마,미국,0.8481012658227848,"명작,최고,인생,감동,희망","약속,채널,꼼짝,마법,필요"
22,22,헤로니모,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189054,https://ssl.pstatic.net/imgmovie/mdi/mit110/1890/189054_P13_104111.jpg,2019,전후석,"헤로니모 임,전후석",9.45,다큐멘터리,"한국,미국",0.9036144578313252,"쿠바,한인,역사,감동,사람","다큐,존경,후반,갑자기,개독"
23,23,덕구,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154667,https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154667_P13_152551.jpg,2017,방수인,"이순재,정지훈",9.45,드라마,한국,0.8876404494382022,"감동,눈물,할아버지,가슴,마음","감동,주인공,할배,아역,신파극"
24,24,울지마 톤즈 2 : 슈크란 바바,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190223,https://ssl.pstatic.net/imgmovie/mdi/mit110/1902/190223_P25_151327.jpg,2019,강성옥,"이금희,이태석",9.45,다큐멘터리,한국,0.7530864197530864,"신부,감동,다시,사랑,존경","신부,사람,제발,인간,후원"
25,25,장마,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190573,https://ssl.pstatic.net/imgmovie/mdi/mit110/1905/190573_P01_141243.jpg,2019,"이용남,음정현",이은택,9.44,다큐멘터리,한국,0.7402597402597403,"자유,감동,대한민국,사람,영상","북한,자유,사람,인권,이영화"
26,26,나는보리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179394,https://ssl.pstatic.net/imgmovie/mdi/mit110/1793/179394_P14_130913.jpg,2018,김진유,"김아송,이린하,곽진석,허지나",9.44,"가족,드라마",한국,0.902439024390244,"보리,가족,감동,마음,가슴","소외,보리,고민,수화,가족"
27,27,라이언 일병 구하기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18988,https://ssl.pstatic.net/imgmovie/mdi/mit110/0189/A8988-00.jpg,1998,스티븐 스필버그,"톰 행크스,에드워드 번즈,톰 시즈모어,제레미 데이비스,빈 디젤,아담 골드버그,배리 페퍼,지오바니 리비시,맷 데이먼,데니스 파리나,테드 댄슨",9.44,"드라마,액션,전쟁",미국,0.7159090909090909,"전쟁,최고,명작,전쟁영화,인간","업햄,전쟁,희생,장면,스필버그"
28,28,클래식,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35939,https://ssl.pstatic.net/imgmovie/mdi/mit110/0359/C5939-00.jpg,2003,곽재용,"손예진,조승우,조인성",9.44,드라마,한국,0.8588235294117647,"인생,최고,클래식,감동,사랑","소나기,감상,장면,갑자기,다시"
29,29,서태지밴드 콘서트투어 '콰이어트나이트',https://movie.naver.com/movie/bi/mi/basic.nhn?code=145446,https://ssl.pstatic.net/imgmovie/mdi/mit110/1454/145446_P01_143525.jpg,2015,<b>서태지</b>,서태지,9.44,공연,한국,0.8041237113402062,"최고,서태지,공연,역시,사운드","서태지,조명,콘서트,영상,대하"
30,30,버블 패밀리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=147864,https://ssl.pstatic.net/imgmovie/mdi/mit110/1478/147864_P09_144240.jpg,2017,마민지,"노해숙,마풍락,마민지",9.43,"다큐멘터리,가족",한국,0.9052631578947368,"가족,이야기,부모님,공감,몰입","사람,부동산,빚쟁이,피해자,가해"
31,31,빽 투 더 퓨쳐,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10002,https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/10002_P17_100100.jpg,1985,로버트 저메키스,"마이클 J. 폭스,크리스토퍼 로이드,리 톰슨,크리스핀 글로버,토머스 F. 윌슨",9.43,"SF,코미디,어드벤처",미국,0.8241758241758241,"최고,명작,인생,지금,다시","초반,마티,여친,이제,응원"
32,32,포레스트 검프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17159,https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17159_P12_153452.jpg,1994,로버트 저메키스,톰 행크스,9.42,"드라마,코미디",미국,0.7586206896551724,"인생,감동,포레스트,다시,최고","사람,포레스트,바보,자존심,진심"
33,33,번개맨과 신비의 섬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165561,https://ssl.pstatic.net/imgmovie/mdi/mit110/1655/165561_P02_143545.jpg,2017,김지열,"서홍석,홍민아,유수호,최오식,이상철,김수미",9.42,"가족,뮤지컬",한국,0.7474747474747475,"번개,노래,감동,뮤지컬,음악","번개,평론가,뮤지컬,시작,계속"
34,34,맹룡과강,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10183,https://ssl.pstatic.net/imgmovie/mdi/mit110/0101/10183_P28_161205.jpg,1972,이소룡,이소룡,9.41,"액션,코미디,범죄",홍콩,0.7395833333333334,"액션,가수,최고,무술,리스","역시,무술,가수,소룡,근육"
35,35,타이타닉,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18847,https://ssl.pstatic.net/imgmovie/mdi/mit110/0188/18847_P96_094922.jpg,1997,제임스 카메론,"레오나르도 디카프리오,케이트 윈슬렛",9.41,"드라마,로맨스,액션",미국,0.7701149425287356,"감동,인생,명작,최고,다시","설명,명작,여주,잘생쁨,러브"
36,36,로렌조 오일,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11583,https://ssl.pstatic.net/imgmovie/mdi/mit110/0115/A1583-00.jpg,1992,조지 밀러,"닉 놀테,수잔 서랜든,피터 유스티노프",9.41,드라마,미국,0.934065934065934,"감동,사랑,부모,자식,로렌","로렌,오일,난치병,뉴스,의사"
37,37,살인의 추억,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35901,https://ssl.pstatic.net/imgmovie/mdi/mit110/0359/C5901-00.jpg,2003,봉준호,"송강호,김상경",9.41,스릴러,한국,0.7777777777777778,"최고,명작,봉준호,살인,추억","형사,봉준호,의존,사람,아빠"
38,38,바나나쏭의 기적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155567,https://ssl.pstatic.net/imgmovie/mdi/mit110/1555/155567_P16_144640.jpg,2018,"송우용,지혜원",김재창,9.4,다큐멘터리,한국,0.9042553191489362,"감동,다큐,노래,마음,사람","사람,세계,기도,더보,옆집"
39,39,매트릭스 ,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24452,https://ssl.pstatic.net/imgmovie/mdi/mit110/0244/24452_P77_115527.jpg,1999,"릴리 워쇼스키,라나 워쇼스키","키아누 리브스,로렌스 피시번",9.4,"SF,액션",미국,0.723404255319149,"명작,매트릭스,현실,다시,지금","매트릭스,다시,요즘,철학,가지"
40,40,어폴로지,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151282,https://ssl.pstatic.net/imgmovie/mdi/mit110/1512/151282_P26_155629.jpg,2016,티파니 슝,"길원옥,차오,아델라",9.4,다큐멘터리,캐나다,0.74,"할머니,상영,위안부,일본,기억","상영,위안부,사과,진심,피해"
41,41,토이 스토리 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66463,https://ssl.pstatic.net/imgmovie/mdi/mit110/0664/66463_P46_190114.jpg,2010,리 언크리치,"톰 행크스,팀 알렌,조안 쿠삭",9.4,"가족,코미디,판타지",미국,0.896551724137931,"토이스토리,앤디,최고,감동,눈물","토이스토리,동물,전집,로봇,장난감"
42,42,누구에게나 찬란한,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123386,https://ssl.pstatic.net/imgmovie/mdi/mit110/1233/123386_P16_105105.jpg,2014,임유철,"김남길,김태근,박철우,신성훈",9.4,다큐멘터리,한국,0.91,"감동,희망,축구,모습,마음","축구,다큐,응원,넷플릭스,발견"
43,43,니얼굴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=198472,https://ssl.pstatic.net/imgmovie/mdi/mit110/1984/198472_P16_111713.jpg,2020,서동일,정은혜,9.39,다큐멘터리,한국,0.7647058823529411,"은혜,감동,작가,얼굴,힐링","은혜,얼굴,사람,넷플릭스,이야기"
44,44,드롭박스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134846,https://ssl.pstatic.net/imgmovie/mdi/mit110/1348/134846_P23_143716.jpg,2015,브라이언 아이비,이종락,9.39,다큐멘터리,"한국,미국",0.8484848484848485,"목사,생명,감동,사랑,사람","사람,생명,다큐멘터리,곡성,상영"
45,45,쉰들러 리스트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14450,https://ssl.pstatic.net/imgmovie/mdi/mit110/0144/14450_P20_095419.jpg,1993,스티븐 스필버그,리암 니슨,9.39,"드라마,사극,전쟁",미국,0.7717391304347826,"명작,감동,인간,최고,유대인","사람,일본인,인간,가치,유대인"
46,46,미세스 다웃파이어 ,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16210,https://ssl.pstatic.net/imgmovie/mdi/mit110/0162/A6210-01.jpg,1993,크리스 콜럼버스,"로빈 윌리엄스,샐리 필드",9.39,"드라마,가족",미국,0.9438202247191012,"로빈,감동,윌리엄스,다시,명작","웃기,와이프,자식,분장"
47,47,아이 캔 스피크,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161850,https://ssl.pstatic.net/imgmovie/mdi/mit110/1618/161850_P48_112458.jpg,2017,김현석,"나문희,이제훈",9.38,코미디,한국,0.8241758241758241,"감동,할머니,최고,인생,눈물","위안부,일본,사람,한국,슬픔"
48,48,동주,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134899,https://ssl.pstatic.net/imgmovie/mdi/mit110/1348/134899_P61_144754.jpg,2015,이준익,"강하늘,박정민,김인우",9.38,드라마,한국,0.8620689655172413,"윤동주,시인,시대,감동,마음","흑백,드라마,발연기,사람,송몽규"
49,49,죽은 시인의 사회,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10048,https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/10048_P18_163221.jpg,1989,피터 위어,로빈 윌리엄스,9.38,드라마,미국,0.7582417582417582,"캡틴,인생,감동,명작,마지막","아저씨,내용,세얼간이,이해,로빈"
50,50,미안하다 독도야,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50666,https://ssl.pstatic.net/imgmovie/mdi/mit110/0506/E0666-01.jpg,2008,최현묵,김장훈,9.37,다큐멘터리,한국,0.6565656565656566,"독도,감동,우리땅,관심,대해","독도,한국,관심,애국심,가지"
51,51,다시 태어나도 우리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154573,https://ssl.pstatic.net/imgmovie/mdi/mit110/1545/154573_P11_102439.jpg,2016,"문창용,전진","파드마 앙뚜,우르갼 릭젠",9.37,다큐멘터리,한국,0.8780487804878049,"스승,마음,감동,사랑,가슴","울면,절대,스승,후회,나중"
52,52,아이들은 즐겁다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=203468,https://ssl.pstatic.net/imgmovie/mdi/mit110/2034/203468_P10_175621.jpg,2020,이지원,"이경훈,박예찬,홍정민,박시완,옥예린",9.37,드라마,한국,0.9204545454545454,"감동,엄마,마음,눈물,어른","코로나,전혀,장면,시국,마음"
53,53,카일라스 가는 길,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178687,https://ssl.pstatic.net/imgmovie/mdi/mit110/1786/178687_P13_102523.jpg,2018,정형민,"이춘숙,정형민",9.37,다큐멘터리,한국,0.872093023255814,"어머니,마음,감동,라스,할머니","사람,여행,순례,다큐,그게"
54,54,굿 윌 헌팅,https://movie.naver.com/movie/bi/mi/basic.nhn?code=19079,https://ssl.pstatic.net/imgmovie/mdi/mit110/0190/19079_P22_141006.jpg,1997,구스 반 산트,맷 데이먼,9.36,드라마,미국,0.8095238095238095,"인생,최고,감동,마음,로빈","맥닐사,헌팅,보기,정부,위해"
55,55,별의 정원,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186259,https://ssl.pstatic.net/imgmovie/mdi/mit110/1862/186259_P13_101339.jpg,2019,원종식,"김연우,전태열,신용우,배수빈,김새해",9.36,"애니메이션,판타지",한국,0.8383838383838383,"감동,애니,가족,한국,애니메이션","상영,캐릭터,수준,고려,편집"
56,56,다시 만난 날들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=195690,https://ssl.pstatic.net/imgmovie/mdi/mit110/1956/195690_P08_105040.jpg,2019,심찬양,"홍이삭,장하은",9.36,"뮤지컬,드라마,로맨스",한국,0.9534883720930232,"음악,노래,밴드,사람,마음","대한민국,독립영화,수준,사실,가슴"
57,57,자산어보,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189075,https://ssl.pstatic.net/imgmovie/mdi/mit110/1890/189075_P52_134929.jpg,2019,이준익,"설경구,변요한",9.36,"사극,드라마",한국,0.8620689655172413,"사람,흑백,정약전,감동,몰입","사람,이준익,편견,빠리,득실거렸"
58,58,"울지마, 톤즈",https://movie.naver.com/movie/bi/mi/basic.nhn?code=76667,https://ssl.pstatic.net/imgmovie/mdi/mit110/0766/76667_P03_103859.jpg,2010,구수환,"이금희,이태석",9.35,다큐멘터리,한국,0.8043478260869565,"신부,사람,존경,사랑,세상","사람,신부,이제,아프리카,이해"
59,59,에이리언 2 ,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10038,https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/A0038-00.jpg,1986,제임스 카메론,"시고니 위버,마이클 빈,폴 레이저,랜스 헨릭슨,캐리 헨",9.35,"SF,액션",미국,0.7472527472527473,"지금,최고,명작,다시,시리즈","에이리언,프레데터,년도,에일리언,년작"
60,60,더 록 ,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17135,https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7135-04.jpg,1996,마이클 베이,"숀 코네리,니콜라스 케이지,에드 해리스",9.35,"액션,스릴러",미국,0.7204301075268817,"최고,액션,액션영화,명작,인생","코네,명복,보상,국가,험멜"
